title,slug,section,category,primaryKeyword,secondaryKeywords,parentArticle,parentCalculator,articleType,priorityScore,wordCount,macroContext,microContext
"TikTok Money Calculator — How We Calculate Your Earnings",how-tiktok-money-calculator-works,core,calculators/tiktok-money,tiktok money calculator,"tiktok earnings calculator;tiktok income estimator",/calculators/tiktok-money,/calculators/tiktok-money,informative,90,2000,How the TikTok money calculator estimates creator earnings,"data sources;RPM methodology;accuracy"
"How Much Money Can You Make on TikTok with 10K Followers",tiktok-money-10k-followers,core,calculators/tiktok-money,how much money 10k followers tiktok,"tiktok 10000 followers income;small creator earnings",/calculators/tiktok-money,/calculators/tiktok-money,informative,91,2000,TikTok earning potential at the 10K follower milestone,"brand deals at 10K;creator fund eligibility;growth strategies"
"How Much Money Can You Make on TikTok with 100K Followers",tiktok-money-100k-followers,core,calculators/tiktok-money,how much money 100k followers tiktok,"tiktok 100000 followers earnings;mid-tier creator income",/calculators/tiktok-money,/calculators/tiktok-money,informative,91,2000,TikTok earning potential at the 100K follower milestone,"brand deal rates;multiple income streams;full-time potential"
"How Much Money Can You Make on TikTok with 1M Followers",tiktok-money-1m-followers,core,calculators/tiktok-money,how much money 1 million followers tiktok,"tiktok millionaire;top creator earnings",/calculators/tiktok-money,/calculators/tiktok-money,informative,90,2000,TikTok earning potential at the 1M follower milestone,"celebrity tier;enterprise brand deals;diversification"
"Why Your TikTok Earnings Are Lower Than Expected",why-tiktok-earnings-low,core,calculators/tiktok-money,why tiktok earnings low,"tiktok low RPM;tiktok pay dropped",/calculators/tiktok-money,/calculators/tiktok-money,informative,88,2000,Reasons for lower than expected TikTok creator earnings,"seasonal RPM;audience geography;content type;algorithm changes"
"TikTok Engagement Rate by Niche — Complete Benchmarks",engagement-rate-by-niche,core,calculators/engagement-rate,tiktok engagement rate by niche,"niche engagement benchmarks;best engagement niches",/calculators/engagement-rate,/calculators/engagement-rate,data,93,2500,TikTok engagement rate benchmarks across content niches,"beauty;finance;fitness;comedy;education;tech"
"Why Your TikTok Engagement Rate Is Dropping",engagement-rate-dropping,core,calculators/engagement-rate,tiktok engagement rate dropping,"engagement decline;tiktok reach dropped",/calculators/engagement-rate,/calculators/engagement-rate,informative,88,2000,Causes and fixes for declining TikTok engagement rates,"algorithm changes;content fatigue;posting frequency;shadowban"
"TikTok Engagement Rate for Brand Deals — Minimum Requirements",engagement-rate-brand-deals,core,calculators/engagement-rate,tiktok engagement rate brand deals,"minimum engagement for sponsors;brand deal requirements",/calculators/engagement-rate,/calculators/engagement-rate,informative,90,2000,Engagement rate thresholds brands require for TikTok partnerships,"micro-influencer;industry minimums;how to improve for brands"
"Engagement Rate vs Views — Which Matters More on TikTok",engagement-rate-vs-views,core,calculators/engagement-rate,engagement rate vs views tiktok,"tiktok metrics importance;views or engagement",/calculators/engagement-rate,/calculators/engagement-rate,comparison,87,2000,Comparing the importance of engagement rate versus view count,"algorithm weight;brand preferences;monetization impact"
"How TikTok Algorithm Uses Engagement Rate",algorithm-engagement-rate,core,calculators/engagement-rate,tiktok algorithm engagement rate,"how algorithm works engagement;FYP ranking factors",/calculators/engagement-rate,/calculators/engagement-rate,informative,89,2000,How TikTok algorithm weighs engagement rate in content distribution,"FYP signals;watch time vs likes;distribution tiers"
"Creator Fund Eligibility Requirements 2026",creator-fund-eligibility-2026,core,calculators/tiktok-creator-fund,tiktok creator fund requirements 2026,"creator fund eligibility;how to join creator fund",/calculators/tiktok-creator-fund,/calculators/tiktok-creator-fund,informative,91,2000,Current TikTok Creator Fund and Rewards eligibility criteria,"age;followers;views;country;content requirements"
"How to Maximize Your TikTok Creator Fund RPM",maximize-creator-fund-rpm,core,calculators/tiktok-creator-fund,maximize tiktok creator fund rpm,"increase creator fund earnings;higher RPM tiktok",/calculators/tiktok-creator-fund,/calculators/tiktok-creator-fund,informative,89,2000,Strategies to increase Creator Fund and Rewards RPM rates,"video length;niche;audience targeting;posting time"
"Creator Fund Payment Schedule and Delays Explained",creator-fund-payment-schedule,core,calculators/tiktok-creator-fund,tiktok creator fund payment schedule,"when does tiktok pay;creator fund payout delay",/calculators/tiktok-creator-fund,/calculators/tiktok-creator-fund,informative,87,1500,TikTok Creator Fund payment timing and common delay causes,"payout dates;minimum threshold;withdrawal methods"
"How to Buy TikTok Coins — Cheapest Methods",how-to-buy-tiktok-coins,core,calculators/coins,how to buy tiktok coins,"tiktok coins purchase;cheapest tiktok coins",/calculators/coins,/calculators/coins,transactional,90,2000,Guide to purchasing TikTok coins at the best prices,"in-app purchase;web purchase;regional pricing;discounts"
"TikTok Coin Prices by Country — Complete 2026 List",tiktok-coin-prices-by-country,core,calculators/coins,tiktok coin prices by country,"tiktok coins cost different countries",/calculators/coins,/calculators/coins,data,88,2000,TikTok coin pricing across all available countries and regions,"currency conversion;cheapest countries;price comparison"
"Most Expensive TikTok Gifts and Their Real Dollar Value",most-expensive-tiktok-gifts,core,calculators/coins,most expensive tiktok gifts,"tiktok gift values;tiktok universe gift cost",/calculators/coins,/calculators/coins,data,89,2000,Complete ranking of TikTok gifts by real monetary value,"universe;lion;drama queen;diamond value conversion"
"TikTok Live Requirements — How to Unlock Live Streaming",tiktok-live-requirements,core,calculators/earnings-revenue/live-earnings,tiktok live requirements,"how to go live tiktok;tiktok live access",/calculators/earnings-revenue/live-earnings,/calculators/earnings-revenue/live-earnings,informative,91,2000,TikTok live streaming eligibility requirements and activation,"age;followers;account standing;feature rollout"
"How to Get More Viewers on TikTok Live",get-more-viewers-tiktok-live,core,calculators/earnings-revenue/live-earnings,how to get more viewers tiktok live,"increase live viewers;tiktok live audience",/calculators/earnings-revenue/live-earnings,/calculators/earnings-revenue/live-earnings,informative,88,2000,Strategies to increase TikTok live stream viewership,"scheduling;promotion;engagement tactics;co-hosting"
"TikTok Live Battles — How They Work and Earning Potential",tiktok-live-battles,core,calculators/earnings-revenue/live-earnings,tiktok live battles,"live battle earnings;tiktok PK battles",/calculators/earnings-revenue/live-earnings,/calculators/earnings-revenue/live-earnings,informative,86,2000,TikTok live battle mechanics and monetization potential,"PK rules;gift surges;strategy;top earners"
"How to Write a TikTok Media Kit",tiktok-media-kit,core,calculators/brand-deal-rate,tiktok media kit,"creator media kit;influencer media kit template",/calculators/brand-deal-rate,/calculators/brand-deal-rate,transactional,89,2500,Guide to creating a professional TikTok creator media kit,"what to include;design tips;analytics screenshots;rate card"
"Brand Deal Red Flags — TikTok Sponsorship Scams to Avoid",brand-deal-red-flags,core,calculators/brand-deal-rate,tiktok brand deal scams,"fake brand deals;sponsorship red flags",/calculators/brand-deal-rate,/calculators/brand-deal-rate,informative,87,2000,How to identify fake or exploitative TikTok brand deal offers,"common scams;unpaid work;rights grabs;low-ball tactics"
"How Brands Calculate TikTok Influencer ROI",brands-calculate-influencer-roi,core,calculators/brand-deal-rate,how brands calculate influencer roi,"influencer marketing ROI;brand deal metrics",/calculators/brand-deal-rate,/calculators/brand-deal-rate,informative,86,2000,Understanding how brands measure return on TikTok influencer spend,"CPM;CPA;engagement value;conversion tracking"
"Best Selling Products on TikTok Shop 2026",best-selling-tiktok-shop-products,core,calculators/commerce-ads/shop-profit,best selling tiktok shop products,"top tiktok shop items;trending products tiktok",/calculators/commerce-ads/shop-profit,/calculators/commerce-ads/shop-profit,data,90,2500,Trending and top-selling product categories on TikTok Shop,"beauty;fashion;gadgets;home;seasonal trends"
"TikTok Shop Seller Fees and Costs Breakdown",tiktok-shop-seller-fees,core,calculators/commerce-ads/shop-profit,tiktok shop seller fees,"tiktok shop costs;selling on tiktok fees",/calculators/commerce-ads/shop-profit,/calculators/commerce-ads/shop-profit,informative,88,2000,Complete breakdown of TikTok Shop seller fees and costs,"commission;transaction fees;shipping;returns"
"How to Go Viral with TikTok Shop Products",viral-tiktok-shop-products,core,calculators/commerce-ads/shop-profit,how to go viral tiktok shop,"tiktok shop viral strategy;trending shop products",/calculators/commerce-ads/shop-profit,/calculators/commerce-ads/shop-profit,informative,87,2000,Strategies for creating viral TikTok Shop product content,"hook formulas;product demo;before-after;unboxing"
"How to Increase Your TikTok RPM",increase-tiktok-rpm,core,calculators/rpm,how to increase tiktok rpm,"boost RPM tiktok;higher tiktok earnings per view",/calculators/rpm,/calculators/rpm,informative,90,2000,Strategies to increase TikTok revenue per thousand views,"niche selection;audience geography;video length;seasonality"
"TikTok CPM vs RPM — Difference Explained",tiktok-cpm-vs-rpm,core,calculators/rpm,tiktok cpm vs rpm,"CPM RPM difference;tiktok ad metrics",/calculators/rpm,/calculators/rpm,informative,86,1500,Understanding the difference between CPM and RPM on TikTok,"advertiser vs creator perspective;calculation formulas"
"Seasonal TikTok RPM Fluctuations Explained",seasonal-tiktok-rpm,core,calculators/rpm,tiktok rpm seasonal,"tiktok earnings Q4 vs Q1;seasonal RPM changes",/calculators/rpm,/calculators/rpm,data,85,2000,How TikTok RPM rates change throughout the year,"Q4 peak;January dip;advertiser budgets;holiday trends"
"TikTok Follower Growth Rate — What Is Normal",follower-growth-rate-normal,core,calculators/follower-growth,tiktok follower growth rate,"normal follower growth;tiktok growth benchmarks",/calculators/follower-growth,/calculators/follower-growth,informative,85,2000,TikTok follower growth rate benchmarks by account size,"daily growth;monthly growth;niche variation;viral spikes"
"How to Go Viral on TikTok — Data-Backed Strategies",how-to-go-viral-tiktok,core,calculators/viral-potential,how to go viral on tiktok,"tiktok viral strategy;going viral tips",/calculators/viral-potential,/calculators/viral-potential,informative,92,3000,Science-backed strategies for creating viral TikTok content,"hook techniques;trend riding;shareability;algorithm triggers"
